,train,val,test
0,BRACS_1267,BRACS_3277,BRACS_1405
1,BRACS_1269,BRACS_759,BRACS_3322
2,BRACS_1296,BRACS_1998,BRACS_1585
3,BRACS_1378,BRACS_1003715,BRACS_1261
4,BRACS_1385,BRACS_1003668,BRACS_1582
5,BRACS_1386,BRACS_1255,BRACS_2002
6,BRACS_1401,BRACS_3298,BRACS_1655
7,BRACS_1403,BRACS_1493,BRACS_1967
8,BRACS_1507,BRACS_1784,BRACS_3268
9,BRACS_1513,BRACS_2000,BRACS_1412
10,BRACS_1579,BRACS_1890,BRACS_1631
11,BRACS_1584,BRACS_1408,BRACS_3272
12,BRACS_1598,BRACS_1664,BRACS_3334
13,BRACS_1601,BRACS_2004,BRACS_1423
14,BRACS_1614,BRACS_1480,BRACS_1370
15,BRACS_1632,BRACS_1276,BRACS_1242
16,BRACS_1641,BRACS_1940,BRACS_1240
17,BRACS_1645,BRACS_1966,BRACS_1960
18,BRACS_1658,BRACS_1834,BRACS_1581
19,BRACS_1820,BRACS_1596,BRACS_1606
20,BRACS_1855,BRACS_1594,BRACS_1946
21,BRACS_1973,BRACS_1786,BRACS_1853
22,BRACS_1974,BRACS_2001,BRACS_1337
23,BRACS_1978,BRACS_3284,BRACS_1963
24,BRACS_1979,BRACS_1949,BRACS_3278
25,BRACS_1981,BRACS_1510,BRACS_1799
26,BRACS_3275,BRACS_1813,BRACS_1773
27,BRACS_3282,BRACS_1775,BRACS_1971
28,BRACS_3292,BRACS_1319,BRACS_1778
29,BRACS_1003675,BRACS_1892,BRACS_1003728
30,BRACS_1003713,BRACS_1228,BRACS_1882
31,BRACS_1003714,BRACS_1933,BRACS_1003691
32,BRACS_1003716,BRACS_1895,BRACS_1911
33,BRACS_264,BRACS_1589,BRACS_1977
34,BRACS_745,BRACS_1872,BRACS_1474
35,BRACS_758,BRACS_1927,BRACS_1920
36,BRACS_760,BRACS_1970,BRACS_1509
37,BRACS_761,BRACS_1999,BRACS_736
38,BRACS_1241,BRACS_1369,BRACS_1864
39,BRACS_1248,BRACS_1003697,BRACS_1928
40,BRACS_1249,BRACS_1289,BRACS_1356
41,BRACS_1251,BRACS_1231,BRACS_1910
42,BRACS_1253,BRACS_281,BRACS_310
43,BRACS_1259,BRACS_1590,BRACS_3319
44,BRACS_1273,BRACS_3323,BRACS_1003670
45,BRACS_1274,BRACS_1394,BRACS_1277
46,BRACS_1275,BRACS_738,BRACS_1003699
47,BRACS_1318,BRACS_286,BRACS_1830
48,BRACS_1320,BRACS_757,BRACS_1516
49,BRACS_1321,BRACS_1636,BRACS_1817
50,BRACS_1322,BRACS_1292,BRACS_1361
51,BRACS_1324,BRACS_1360,BRACS_1279
52,BRACS_1325,BRACS_298,BRACS_1003698
53,BRACS_1327,,
54,BRACS_1329,,
55,BRACS_1330,,
56,BRACS_1336,,
57,BRACS_1338,,
58,BRACS_1424,,
59,BRACS_1483,,
60,BRACS_1485,,
61,BRACS_1508,,
62,BRACS_1511,,
63,BRACS_1583,,
64,BRACS_1603,,
65,BRACS_1605,,
66,BRACS_1608,,
67,BRACS_1612,,
68,BRACS_1620,,
69,BRACS_1633,,
70,BRACS_1634,,
71,BRACS_1640,,
72,BRACS_1656,,
73,BRACS_1659,,
74,BRACS_1660,,
75,BRACS_1661,,
76,BRACS_1665,,
77,BRACS_1666,,
78,BRACS_1668,,
79,BRACS_1669,,
80,BRACS_1772,,
81,BRACS_1779,,
