,train,val,test
0,patient_000_node_0,patient_089_node_2,patient_043_node_4
1,patient_000_node_2,patient_075_node_2,patient_088_node_0
2,patient_000_node_3,patient_001_node_0,patient_007_node_0
3,patient_000_node_4,patient_046_node_0,patient_003_node_0
4,patient_001_node_1,patient_008_node_3,patient_045_node_2
5,patient_001_node_2,patient_025_node_3,patient_079_node_4
6,patient_001_node_4,patient_023_node_3,patient_082_node_2
7,patient_002_node_0,patient_058_node_2,patient_032_node_4
8,patient_002_node_2,patient_054_node_4,patient_002_node_4
9,patient_002_node_3,patient_011_node_1,patient_093_node_2
10,patient_003_node_1,patient_006_node_1,patient_037_node_2
11,patient_003_node_2,patient_038_node_3,patient_030_node_2
12,patient_003_node_3,patient_047_node_3,patient_033_node_4
13,patient_003_node_4,patient_043_node_3,patient_065_node_1
14,patient_004_node_0,patient_054_node_1,patient_044_node_2
15,patient_004_node_1,patient_071_node_1,patient_057_node_2
16,patient_004_node_2,patient_036_node_4,patient_049_node_4
17,patient_004_node_3,patient_079_node_1,patient_059_node_4
18,patient_005_node_0,patient_013_node_0,patient_078_node_3
19,patient_005_node_1,patient_008_node_4,patient_066_node_1
20,patient_006_node_0,patient_012_node_2,patient_073_node_4
21,patient_006_node_3,patient_070_node_1,patient_088_node_3
22,patient_007_node_1,patient_058_node_3,patient_005_node_2
23,patient_007_node_2,patient_027_node_1,patient_066_node_0
24,patient_007_node_3,patient_055_node_3,patient_085_node_0
25,patient_008_node_1,patient_002_node_1,patient_063_node_1
26,patient_008_node_2,patient_077_node_3,patient_001_node_3
27,patient_009_node_2,patient_033_node_0,patient_086_node_3
28,patient_009_node_3,patient_000_node_1,patient_090_node_3
29,patient_009_node_4,patient_057_node_0,patient_066_node_4
30,patient_010_node_1,patient_086_node_1,patient_041_node_4
31,patient_010_node_2,patient_068_node_0,patient_047_node_0
32,patient_010_node_3,patient_014_node_4,patient_017_node_2
33,patient_011_node_2,patient_091_node_2,patient_096_node_4
34,patient_011_node_3,patient_033_node_1,patient_092_node_4
35,patient_011_node_4,patient_018_node_3,patient_012_node_0
36,patient_012_node_1,patient_021_node_0,patient_092_node_0
37,patient_012_node_3,patient_077_node_2,patient_063_node_3
38,patient_012_node_4,patient_042_node_3,patient_045_node_3
39,patient_013_node_1,patient_022_node_4,patient_013_node_2
40,patient_014_node_0,patient_015_node_1,patient_062_node_2
41,patient_014_node_1,patient_066_node_2,patient_027_node_2
42,patient_015_node_0,patient_046_node_3,patient_081_node_2
43,patient_015_node_3,patient_069_node_3,patient_048_node_0
44,patient_016_node_2,patient_017_node_4,patient_033_node_2
45,patient_016_node_3,patient_028_node_3,patient_010_node_4
46,patient_016_node_4,patient_011_node_0,patient_038_node_0
47,patient_017_node_0,patient_080_node_0,patient_068_node_1
48,patient_018_node_0,patient_064_node_0,patient_029_node_2
49,patient_019_node_4,patient_068_node_4,patient_024_node_4
50,patient_020_node_0,patient_081_node_4,patient_006_node_4
51,patient_020_node_3,,
52,patient_021_node_2,,
53,patient_022_node_2,,
54,patient_022_node_3,,
55,patient_023_node_0,,
56,patient_023_node_1,,
57,patient_023_node_2,,
58,patient_023_node_4,,
59,patient_024_node_0,,
60,patient_024_node_3,,
61,patient_025_node_0,,
62,patient_025_node_1,,
63,patient_025_node_2,,
64,patient_025_node_4,,
65,patient_027_node_3,,
66,patient_028_node_4,,
67,patient_029_node_4,,
68,patient_030_node_0,,
69,patient_030_node_1,,
70,patient_030_node_3,,
71,patient_031_node_0,,
72,patient_031_node_1,,
73,patient_031_node_2,,
74,patient_031_node_3,,
75,patient_031_node_4,,
76,patient_032_node_0,,
77,patient_032_node_2,,
78,patient_032_node_3,,
79,patient_034_node_0,,
80,patient_034_node_1,,
81,patient_034_node_2,,
82,patient_034_node_4,,
83,patient_035_node_0,,
84,patient_035_node_1,,
85,patient_035_node_2,,
86,patient_035_node_3,,
87,patient_035_node_4,,
88,patient_036_node_0,,
89,patient_036_node_1,,
90,patient_036_node_2,,
91,patient_037_node_0,,
92,patient_037_node_3,,
93,patient_037_node_4,,
94,patient_038_node_1,,
95,patient_039_node_2,,
96,patient_039_node_3,,
97,patient_039_node_4,,
98,patient_040_node_0,,
99,patient_040_node_1,,
100,patient_040_node_3,,
